in:SolutionNr,in:6_floor,in:12_floor,in:25_floor,in:concrete,in:grass,in:sand,in:water,out:no_voids,out:NE,out:NW,out:SW,out:SE,out:Δ_temp,out:sunlight,out:sky_exposure,out: linked,img
263,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,14,12,4.8,6.7,3.5,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00263.webp
264,0.5,0.3,0.6,0.7,0.4,0.4,0.3,26,7,7,5,7,6.0,7.4,1.5,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00264.webp
265,0.3,0.3,0.6,0.3,0.3,0.4,0.4,26,5,9,5,7,4.8,6.0,3.5,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00265.webp
266,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00266.webp
267,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,3.6,6.3,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00267.webp
268,0.3,0.6,0.6,0.6,0.4,0.2,0.3,26,5,5,7,9,4.7,6.7,1.9,33,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00268.webp
269,0.4,0.3,0.6,0.6,0.2,0.4,0.4,26,6,8,5,7,4.7,6.9,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00269.webp
270,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.9,6.8,2.2,62,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00270.webp
271,0.3,0.3,0.6,0.6,0.2,0.5,0.2,26,5,8,8,5,6.1,7.2,1.7,90,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00271.webp
272,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00272.webp
273,0.5,0.3,0.6,0.7,0.4,0.3,0.2,26,5,9,6,6,6.1,7.7,2.5,12,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00273.webp
274,0.3,0.3,0.6,0.3,0.3,0.4,0.4,26,5,9,5,7,4.8,6.0,3.5,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00274.webp
275,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,7,7,4.0,6.2,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00275.webp
276,0.4,0.3,0.6,0.3,0.4,0.2,0.3,51,12,12,12,15,5.2,7.1,2.8,70,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00276.webp
277,0.3,0.6,0.6,0.6,0.4,0.2,0.3,26,5,5,7,9,4.7,6.7,1.9,33,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00277.webp
278,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.4,6.4,1.9,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00278.webp
279,0.5,0.3,0.6,0.7,0.4,0.3,0.2,51,11,11,14,15,7.3,7.3,2.0,68,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00279.webp
280,0.4,0.3,0.6,0.6,0.3,0.3,0.4,51,13,15,10,13,4.9,6.8,2.9,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00280.webp
281,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.4,6.4,1.9,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00281.webp
282,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00282.webp
283,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,13,13,4.4,6.7,3.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00283.webp
284,0.5,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,5.0,7.3,1.7,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00284.webp
285,0.5,0.5,0.6,0.7,0.4,0.2,0.2,51,12,12,12,15,5.8,7.8,2.8,66,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00285.webp
286,0.3,0.6,0.6,0.6,0.4,0.2,0.3,26,5,5,7,9,4.7,6.7,1.9,33,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00286.webp
287,0.4,0.3,0.6,0.7,0.4,0.3,0.2,51,12,16,12,11,6.4,7.2,2.7,66,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00287.webp
288,0.3,0.3,0.6,0.6,0.4,0.2,0.3,26,4,8,8,6,3.2,6.0,3.2,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00288.webp
289,0.3,0.3,0.6,0.6,0.3,0.2,0.3,51,10,15,12,14,4.3,6.7,3.8,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00289.webp
290,0.7,0.6,0.6,0.3,0.4,0.2,0.3,51,9,15,15,12,7.0,8.1,1.8,65,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00290.webp
291,0.3,0.3,0.6,0.6,0.4,0.2,0.3,26,4,8,8,6,3.2,6.0,3.2,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00291.webp
292,0.4,0.3,0.6,0.7,0.4,0.2,0.2,26,4,7,8,7,5.2,7.2,2.8,39,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00292.webp
293,0.7,0.6,0.6,0.3,0.4,0.2,0.3,51,9,15,15,12,7.0,8.1,1.8,65,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00293.webp
294,0.3,0.3,0.6,0.3,0.4,0.4,0.4,26,5,7,5,9,5.1,6.0,3.4,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00294.webp
295,0.4,0.3,0.6,0.7,0.4,0.3,0.3,26,7,5,5,9,5.1,7.2,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00295.webp
296,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,13,13,4.4,6.7,3.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00296.webp
297,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,3.6,6.3,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00297.webp
298,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,13,13,4.4,6.7,3.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00298.webp
299,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,28,28,39,33,11.1,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00299.webp
300,0.4,0.3,0.6,0.7,0.4,0.3,0.3,26,7,5,5,9,5.1,7.2,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00300.webp
301,0.3,0.3,0.6,0.6,0.3,0.2,0.3,51,10,15,12,14,4.3,6.7,3.8,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00301.webp
302,0.4,0.3,0.6,0.6,0.3,0.3,0.4,51,13,15,10,13,4.9,6.8,2.9,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00302.webp
303,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,28,28,39,33,11.1,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00303.webp
304,0.4,0.3,0.6,0.7,0.4,0.3,0.3,26,7,5,5,9,5.1,7.2,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00304.webp
305,0.3,0.3,0.6,0.7,0.4,0.4,0.4,26,5,8,5,8,5.0,7.0,2.0,43,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00305.webp
306,0.5,0.4,0.6,0.4,0.2,0.5,0.4,51,11,11,15,14,8.0,7.5,2.1,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00306.webp
307,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00307.webp
308,0.4,0.3,0.6,0.6,0.3,0.3,0.4,51,13,15,10,13,4.9,6.8,2.9,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00308.webp
309,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00309.webp
310,0.4,0.3,0.6,0.6,0.3,0.3,0.4,51,13,15,10,13,4.9,6.8,2.9,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00310.webp
311,0.3,0.3,0.6,0.6,0.3,0.3,0.3,26,4,10,5,7,5.8,7.8,2.2,45,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00311.webp
312,0.4,0.3,0.6,0.7,0.4,0.3,0.3,26,7,5,5,9,5.1,7.2,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00312.webp
313,0.5,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,5.0,7.3,1.7,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00313.webp
314,0.3,0.3,0.6,0.7,0.4,0.3,0.2,26,5,8,7,6,4.9,7.2,2.6,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00314.webp
315,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,3.6,6.3,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00315.webp
316,0.3,0.3,0.6,0.7,0.4,0.4,0.4,26,6,6,6,8,6.1,7.5,2.1,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00316.webp
317,0.5,0.3,0.6,0.7,0.4,0.3,0.2,51,10,17,12,12,7.0,7.6,2.5,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00317.webp
318,0.4,0.3,0.6,0.6,0.3,0.3,0.4,51,12,15,10,14,5.4,6.9,3.5,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00318.webp
319,0.4,0.4,0.6,0.4,0.2,0.5,0.4,51,12,10,17,12,7.5,7.5,2.1,81,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00319.webp
320,0.5,0.3,0.5,0.6,0.3,0.3,0.4,51,12,14,9,16,6.3,7.3,2.4,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00320.webp
321,0.3,0.3,0.6,0.6,0.4,0.2,0.3,51,9,17,11,14,5.6,6.7,3.6,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00321.webp
322,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00322.webp
323,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00323.webp
324,0.5,0.3,0.6,0.6,0.3,0.2,0.3,26,5,8,7,6,6.4,7.6,1.7,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00324.webp
325,0.4,0.4,0.6,0.4,0.4,0.3,0.4,51,11,13,16,11,6.0,7.4,2.4,90,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00325.webp
326,0.3,0.4,0.3,0.3,0.4,0.2,0.3,26,5,8,7,6,6.3,8.4,1.7,41,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00326.webp
327,0.3,0.3,0.6,0.6,0.3,0.2,0.3,51,10,15,12,14,4.3,6.7,3.8,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00327.webp
328,0.5,0.3,0.6,0.6,0.3,0.2,0.3,26,4,8,7,7,6.9,8.0,1.6,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00328.webp
329,0.5,0.5,0.6,0.6,0.4,0.2,0.3,26,5,10,4,7,5.5,7.3,2.4,45,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00329.webp
330,0.3,0.3,0.6,0.6,0.3,0.2,0.3,51,12,12,16,11,5.4,7.8,2.3,65,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00330.webp
331,0.3,0.4,0.6,0.7,0.4,0.4,0.3,26,4,7,7,8,4.3,6.2,3.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00331.webp
332,0.5,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,5.0,7.3,1.7,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00332.webp
333,0.3,0.3,0.6,0.6,0.3,0.3,0.3,26,4,8,7,7,4.9,7.0,1.9,47,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00333.webp
334,0.3,0.6,0.6,0.6,0.4,0.2,0.3,26,5,5,5,11,4.2,6.5,2.0,37,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00334.webp
335,0.3,0.3,0.6,0.6,0.4,0.3,0.2,51,9,13,13,16,7.4,7.4,2.4,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00335.webp
336,0.3,0.3,0.6,0.6,0.3,0.3,0.3,26,4,8,7,7,4.9,7.0,1.9,47,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00336.webp
337,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00337.webp
338,0.3,0.4,0.6,0.7,0.4,0.4,0.3,26,4,7,7,8,4.3,6.2,3.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00338.webp
339,0.3,0.4,0.6,0.6,0.4,0.2,0.3,26,4,8,8,6,3.2,6.1,3.1,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00339.webp
340,0.3,0.3,0.6,0.7,0.4,0.2,0.3,26,4,8,6,8,4.7,7.0,2.7,27,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00340.webp
341,0.3,0.3,0.6,0.6,0.4,0.2,0.3,26,5,7,6,8,3.6,6.2,3.1,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00341.webp
342,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,13,13,4.4,6.7,3.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00342.webp
343,0.5,0.3,0.6,0.3,0.4,0.2,0.3,26,5,9,5,7,5.2,7.2,2.2,39,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00343.webp
344,0.3,0.3,0.6,0.7,0.4,0.2,0.3,26,4,8,5,9,3.3,6.0,3.3,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00344.webp
345,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,5,9,5,7,3.6,6.3,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00345.webp
346,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00346.webp
347,0.5,0.3,0.6,0.3,0.4,0.2,0.4,26,6,9,4,7,5.8,7.1,2.3,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00347.webp
348,0.3,0.4,0.6,0.6,0.4,0.2,0.3,26,4,8,8,6,3.2,6.1,3.1,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00348.webp
349,0.4,0.3,0.6,0.6,0.4,0.3,0.3,26,5,9,5,7,4.1,6.8,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00349.webp
350,0.3,0.3,0.6,0.7,0.2,0.5,0.2,26,6,6,7,7,4.6,6.4,3.1,33,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00350.webp
351,0.6,0.3,0.6,0.7,0.4,0.2,0.2,51,11,13,13,14,7.2,8.1,2.6,68,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00351.webp
352,0.3,0.3,0.6,0.7,0.4,0.2,0.3,26,5,7,7,7,4.9,7.2,2.6,36,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00352.webp
353,0.3,0.3,0.6,0.6,0.4,0.2,0.3,26,4,8,8,6,3.2,6.0,3.2,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00353.webp
354,0.3,0.3,0.6,0.6,0.4,0.3,0.3,26,5,9,6,6,5.4,7.3,2.6,12,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00354.webp
355,0.3,0.3,0.6,0.3,0.4,0.2,0.3,26,4,8,8,6,4.0,6.7,2.4,43,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00355.webp
356,0.5,0.3,0.3,0.3,0.2,0.2,0.2,26,6,9,4,7,8.0,8.1,1.7,62,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00356.webp
357,0.5,0.3,0.6,0.3,0.4,0.3,0.4,26,5,8,5,8,5.4,7.2,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00357.webp
358,0.3,0.5,0.6,0.6,0.4,0.2,0.3,26,4,9,6,7,3.6,6.3,2.9,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00358.webp
359,0.4,0.4,0.6,0.7,0.2,0.2,0.2,51,11,16,13,11,6.6,7.7,2.3,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00359.webp
360,0.4,0.3,0.6,0.3,0.2,0.2,0.3,26,5,9,5,7,6.5,7.2,1.9,50,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00360.webp
361,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,4,7,5.8,7.0,2.2,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00361.webp
362,0.3,0.3,0.6,0.6,0.4,0.3,0.3,26,5,9,6,6,5.4,7.3,2.6,12,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00362.webp
363,0.3,0.3,0.6,0.7,0.4,0.5,0.3,26,6,6,7,7,5.7,7.2,2.5,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00363.webp
364,0.3,0.3,0.6,0.7,0.2,0.2,0.2,26,5,5,7,9,4.9,7.3,2.4,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00364.webp
365,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,14,12,4.8,6.7,3.5,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00365.webp
